,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,harass_np_exp,haras_np_day,harass_np_place,right_viol,right_viol_year,right_viol_year_count,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
0,15 - 39,Always,Nigerian Mobile Police,"When asked about my vehicle papers, am asked politely ",Rarely,Null,Null,No,None,None,,No,,,None,None,4,It has been pleasant.,Reform the Nigeria Police
1,15 - 39,Rarely,Nigerian Mobile Police;National Security Organization,None,Rarely,None,None,No,None,None,,Yes,2021,2,None,None,6,None,None
1,15 - 39,Rarely,Nigerian Mobile Police;National Security Organization,None,Rarely,None,None,No,None,None,,Yes,2020,,None,None,6,None,None
2,15 - 39,Rarely,Nigerian Mobile Police,None,Often,Nigerian Mobile Police,None,No,None,None,,No,None,2,None,None,3,None,Their major goal should be to protect and help the citizen 
3,15 - 39,Rarely,National Intelligence Agency,I was politely approached,Often,Nigerian Mobile Police,Harassed,Yes,2019,Monday,Abia,Yes,2019,1,Tuesday,Abia,3,Bad,They should have a good manner of approach and speak to Nigerians as citizens and not criminals
4,15 - 39,Rarely,National Security Organization,Direction,Often,Nigerian Mobile Police,Bribery & Corruption,Yes,2016,Saturday,Anambra,Yes,2021,6,Saturday,Anambra,1,Awful,Rebrand
4,15 - 39,Rarely,National Security Organization,Direction,Often,Nigerian Mobile Police,Bribery & Corruption,Yes,2016,Saturday,Anambra,Yes,2020,6,Saturday,Anambra,1,Awful,Rebrand
4,15 - 39,Rarely,National Security Organization,Direction,Often,Nigerian Mobile Police,Bribery & Corruption,Yes,2016,Saturday,Anambra,Yes,2019,6,Saturday,Anambra,1,Awful,Rebrand
4,15 - 39,Rarely,National Security Organization,Direction,Often,Nigerian Mobile Police,Bribery & Corruption,Yes,2016,Saturday,Anambra,Yes,2018,6,Saturday,Anambra,1,Awful,Rebrand
4,15 - 39,Rarely,National Security Organization,Direction,Often,Nigerian Mobile Police,Bribery & Corruption,Yes,2016,Saturday,Anambra,Yes,2017,6,Saturday,Anambra,1,Awful,Rebrand
4,15 - 39,Rarely,National Security Organization,Direction,Often,Nigerian Mobile Police,Bribery & Corruption,Yes,2016,Saturday,Anambra,Yes,2016,6,Saturday,Anambra,1,Awful,Rebrand
5,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,Yes,2019,Friday,Delta,Yes,2019,,Friday,Delta,3,None,MENTAL CHECK FOR ALL POLICE OFFICIAL AND RE SENSITIZATION ON ETHICS OF WORTH AND IMPORTANCE OF HUMAN RIGHTS
6,15 - 39,Often,Nigerian Mobile Police,Feel relaxed especially here in lagos,Rarely,Nigerian Mobile Police,"Unnecessary intimidation if you fall for them, here in lagos road transport workers are always in battle with them cos of extortion ",No,None,None,None,No,,,None,None,7,It is always how much do you have and uses force as much as they but fear crowd I mean they dont like gathering of people during any of their operations ,Government should pay them well and the laws in the land should be very clear to us all
7,15 - 39,Rarely,Nigerian Mobile Police,Embarrassing ,Rarely,Nigerian Mobile Police,None,Yes,2021,Monday,Lagos,Yes,2021,,Wednesday,Lagos,1,Bad,Should stop forcing on young boys and do their work
8,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,No,None,None,None,Yes,2020,,None,Rivers,5,None,None
