,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,,harass_np_year,haras_np_day,harass_np_place,right_viol,right_viol_year,,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
0,15 - 39,Always,Nigerian Mobile Police,"When asked about my vehicle papers, am asked politely ",Rarely,,,No,,,,,No,,2,,,4,pleasant.,Reform 
1,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,,,No,,,,,Yes,2021,2,,,6,,
1,15 - 39,Rarely,National Security Organization,,Rarely,,,No,,,,,Yes,2021,,,,6,,
1,15 - 39,Rarely,National Security Organization,,Rarely,,,No,,,,,Yes,2020,2,,,6,,
2,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,No,,,,,No,,1,,,3,,Their major goal should be to protect and help the citizen 
3,15 - 39,Rarely,National Intelligence Agency,I was politely approached,Often,Nigerian Mobile Police,Harassed,Yes,,2019,Monday,Abia,Yes,2019,6,Tuesday,Abia,3,Bad,They should have a good manner of approach and speak to Nigerians as citizens and not criminals
4,15 - 39,Rarely,National Security Organization,Direction,Often,Nigerian Mobile Police,Bribery & Corruption,Yes,,2016,Saturday,Anambra,Yes,2021,6,Saturday,Anambra,1,Awful,Rebrand
4,15 - 39,Rarely,National Security Organization,Direction,Often,Nigerian Mobile Police,Bribery & Corruption,Yes,,2016,Saturday,Anambra,Yes,2020,6,Saturday,Anambra,1,Awful,Rebrand
4,15 - 39,Rarely,National Security Organization,Direction,Often,Nigerian Mobile Police,Bribery & Corruption,Yes,,2016,Saturday,Anambra,Yes,2019,6,Saturday,Anambra,1,Awful,Rebrand
4,15 - 39,Rarely,National Security Organization,Direction,Often,Nigerian Mobile Police,Bribery & Corruption,Yes,,2016,Saturday,Anambra,Yes,2018,6,Saturday,Anambra,1,Awful,Rebrand
4,15 - 39,Rarely,National Security Organization,Direction,Often,Nigerian Mobile Police,Bribery & Corruption,Yes,,2016,Saturday,Anambra,Yes,2017,6,Saturday,Anambra,1,Awful,Rebrand
4,15 - 39,Rarely,National Security Organization,Direction,Often,Nigerian Mobile Police,Bribery & Corruption,Yes,,2016,Saturday,Anambra,Yes,2016,,Saturday,Anambra,1,Awful,Rebrand
5,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,Yes,,2019,Friday,Delta,Yes,2019,,Friday,Delta,3,,MENTAL-CHECK RESENSITIZATION ON ETHICS HUMAN-RIGHTS
6,15 - 39,Often,Nigerian Mobile Police,Feel relaxed especially here in lagos,Rarely,Nigerian Mobile Police,"Unnecessary intimidation if you fall for them, here in lagos road transport workers are always in battle with them cos of extortion ",No,,,,,No,,,,,7,fear and bribery,Government should pay them well and the laws in the land should be very clear to us all
7,15 - 39,Rarely,Nigerian Mobile Police,Embarrassing ,Rarely,Nigerian Mobile Police,,Yes,,2021,Monday,Lagos,Yes,2021,,Wednesday,Lagos,1,Bad,Should stop forcing on young boys and do their work
8,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2020,,,Rivers,5,,
9,15 - 39,Rarely,National Intelligence Agency,,Often,Nigerian Mobile Police,,No,,,,,Yes,2021,,,Imo,2,,
9,15 - 39,Rarely,National Intelligence Agency,,Often,Nigerian Mobile Police,,No,,,,,Yes,2020,,,Rivers,2,,
